OPH.EinsteinBranch.EdgeCenterTiltFreedom.arbitrary_tilt: Classical.choice, Quot.sound, propext
OPH.EinsteinBranch.EdgeCenterTiltFreedom.cocycle_does_not_select_tilt: Classical.choice, Quot.sound, propext
OPH.EinsteinBranch.EdgeCenterTiltFreedom.nonnegative_tilt_survival: Classical.choice, Quot.sound, propext
OPH.Thermodynamics.NativeRepairFourCycle.q_symmetric: Classical.choice, Quot.sound, propext
OPH.Thermodynamics.NativeRepairFourCycle.q_rows_zero: Classical.choice, Quot.sound, propext
OPH.Thermodynamics.NativeRepairFourCycle.q_offdiag_nonnegative: Classical.choice, Quot.sound, propext
OPH.Thermodynamics.NativeRepairFourCycle.stationary_uniform: Classical.choice, Quot.sound, propext
OPH.Thermodynamics.NativeRepairFourCycle.coordinate_drift: Classical.choice, Quot.sound, propext
OPH.Thermodynamics.NativeRepairFourCycle.static_covariance: Classical.choice, Quot.sound, propext
OPH.Thermodynamics.NativeRepairFourCycle.inverse_on_meanzero: Classical.choice, Quot.sound, propext
OPH.Thermodynamics.NativeRepairFourCycle.poisson_solution: Classical.choice, Quot.sound, propext
OPH.Thermodynamics.NativeRepairFourCycle.green_covariance: Classical.choice, Quot.sound, propext
OPH.Thermodynamics.NativeRepairFourCycle.local_difference_covariance: Classical.choice, Quot.sound, propext
OPH.Thermodynamics.NativeRepairFourCycle.record_spectral_shapes_differ: Classical.choice, Quot.sound, propext
OPH.Thermodynamics.TemporalFilterMonotonicity.filter_integrand_monotone: Classical.choice, Quot.sound, propext
OPH.SourceNetClockSeparation.uniform_read_clock_endpoints: Classical.choice, Quot.sound, propext
OPH.SourceNetClockSeparation.uniform_read_clock_motion_independent: Classical.choice, Quot.sound, propext
OPH.SourceNetClockSeparation.uniform_read_clock_not_lorentz: Classical.choice, Quot.sound, propext
OPH.SourceNetClockSeparation.radiation_window_ratio: Classical.choice, Quot.sound, propext
OPH.SourceNetClockSeparation.radiation_window_clock_mismatch: Classical.choice, Quot.sound, propext
OPH.FiniteLayerQuadrature.cube_sum: Classical.choice, Quot.sound, propext
OPH.FiniteLayerQuadrature.reflected_cube_sum: Classical.choice, Quot.sound, propext
OPH.FiniteLayerQuadrature.even_layer_sum: Classical.choice, Quot.sound, propext
OPH.FiniteLayerQuadrature.odd_layer_sum: Classical.choice, Quot.sound, propext
OPH.FiniteLayerQuadrature.even_layer_factor: Classical.choice, Quot.sound, propext
OPH.FiniteLayerQuadrature.odd_layer_factor: Classical.choice, Quot.sound, propext
OPH.GoldenSourceFourier.integer_phase_fract: Classical.choice, Quot.sound, propext
OPH.GoldenSourceFourier.orbit_phase: Classical.choice, Quot.sound, propext
OPH.GoldenSourceFourier.cube_coefficient_factorization: Classical.choice, Quot.sound, propext
OPH.GoldenSourceFourier.axis_coefficient_geometric_identity: Classical.choice, Quot.sound, propext
OPH.GoldenSourceFourier.axis_coefficient_geometric_quotient: Classical.choice, Quot.sound, propext
OPH.GoldenSourceFourier.axis_coefficient_zero: Classical.choice, Quot.sound, propext
