# ell observed_D_uK2 conditional_model_D_coadded_uK2 error_minus_uK2 error_plus_uK2 residual_over_quoted_error
30 3.45830303000000e-02 2.14833190079998e-02 9.17916238000000e-02 9.17916238000000e-02 1.42711401647524e-01
31 -5.07487342000000e-02 2.40769324591403e-02 9.12748664000000e-02 9.12748664000000e-02 -8.19783907776175e-01
32 3.10583100000000e-01 2.68935391427784e-02 9.08390354000000e-02 9.08390354000000e-02 3.12299177999882e+00
33 -1.57260981000000e-02 2.98928719172841e-02 9.06288363000000e-02 9.06288363000000e-02 -5.03360430076316e-01
34 5.53240588000000e-03 3.31002194221296e-02 9.05581539000000e-02 9.05581539000000e-02 -3.04421107927749e-01
35 -4.65978911000000e-02 3.65224198972648e-02 9.06221481000000e-02 9.06221481000000e-02 -9.17218502760969e-01
36 -1.50485805000000e-01 4.01881575723768e-02 9.08143744000000e-02 9.08143744000000e-02 -2.09960112407466e+00
37 5.68015668000000e-02 4.41227776072329e-02 9.11329405000000e-02 9.11329405000000e-02 1.39124109495481e-01
38 2.66484890000000e-01 4.83143507082791e-02 9.15685995000000e-02 9.15685995000000e-02 2.38259119919947e+00
39 1.68720087000000e-01 5.27524382511386e-02 9.21133670000000e-02 9.21133670000000e-02 1.25896655964016e+00
40 7.31691748000000e-02 5.74295900131040e-02 9.27586969000000e-02 9.27586969000000e-02 1.69683116655512e-01
41 2.09184681000000e-01 6.23425366232477e-02 9.35051895000000e-02 9.35051895000000e-02 1.57041705558762e+00
42 2.24586912000000e-02 6.75042143770374e-02 9.43406139000000e-02 9.43406139000000e-02 -4.77477528657860e-01
43 4.60999553000000e-02 7.29314435443283e-02 9.52615255000000e-02 9.52615255000000e-02 -2.81661332878070e-01
44 -1.34368745000000e-02 7.86388914722501e-02 9.62666723000000e-02 9.62666723000000e-02 -9.56465657037676e-01
45 1.88035437000000e-01 8.46384046279316e-02 9.73550243000000e-02 9.73550243000000e-02 1.06206159482278e+00
46 7.80844309000000e-02 9.09371728191480e-02 9.85247051000000e-02 9.85247051000000e-02 -1.30451970458606e-01
47 -5.29424832000000e-02 9.75354874338255e-02 9.97736700000000e-02 9.97736700000000e-02 -1.50819320000783e+00
48 2.55639808000000e-01 1.04425049673493e-01 1.01099279000000e-01 1.01099279000000e-01 1.49570560564044e+00
49 2.09834781000000e-01 1.11596818004383e-01 1.02498811000000e-01 1.02498811000000e-01 9.58430268967868e-01
50 4.57620923000000e-02 1.19052883030653e-01 1.03969074000000e-01 1.03969074000000e-01 -7.04928763053650e-01
51 2.46532786000000e-01 1.26796736766281e-01 1.05507289000000e-01 1.05507289000000e-01 1.13486044773380e+00
52 2.16160010000000e-01 1.34833025354967e-01 1.07111477000000e-01 1.07111477000000e-01 7.59274233936976e-01
53 6.00329858000000e-02 1.43163343325137e-01 1.08779640000000e-01 1.08779640000000e-01 -7.64208794266438e-01
54 1.52654221000000e-01 1.51790026946872e-01 1.10508342000000e-01 1.10508342000000e-01 7.82017029201201e-03
55 2.37126155000000e-01 1.60716896445047e-01 1.12294419000000e-01 1.12294419000000e-01 6.80436830569053e-01
56 -2.09798163000000e-02 1.69940991302537e-01 1.14142094000000e-01 1.14142094000000e-01 -1.67265905952748e+00
57 1.28538652000000e-01 1.79458947610095e-01 1.16045606000000e-01 1.16045606000000e-01 -4.38795550863811e-01
58 3.17494317000000e-01 1.89269526944729e-01 1.18001101000000e-01 1.18001101000000e-01 1.08664062427071e+00
59 2.94122094000000e-01 1.99372232823327e-01 1.20006125000000e-01 1.20006125000000e-01 7.89541876938971e-01
60 1.64333511000000e-01 2.09759146784057e-01 1.22059579000000e-01 1.22059579000000e-01 -3.72159531895951e-01
61 3.95170343000000e-01 2.20423217787814e-01 1.24164573000000e-01 1.24164573000000e-01 1.40738312861742e+00
62 4.26722247000000e-01 2.31360864973080e-01 1.26319594000000e-01 1.26319594000000e-01 1.54656435981674e+00
63 2.87806278000000e-01 2.42570117185939e-01 1.28518671000000e-01 1.28518671000000e-01 3.51981237139161e-01
64 1.78478668000000e-01 2.54048261125381e-01 1.30760196000000e-01 1.30760196000000e-01 -5.77925052401884e-01
65 3.63205967000000e-01 2.65794810117918e-01 1.33042680000000e-01 1.33042680000000e-01 7.32179755264112e-01
66 5.23803797000000e-01 2.77802675256431e-01 1.35364650000000e-01 1.35364650000000e-01 1.81732174348006e+00
67 4.84268280000000e-01 2.90065076736691e-01 1.37724718000000e-01 1.37724718000000e-01 1.41008241718316e+00
68 2.23682203000000e-01 3.02572343548959e-01 1.40121382000000e-01 1.40121382000000e-01 -5.63012863725248e-01
69 3.90648255000000e-02 3.15317031576190e-01 1.42552529000000e-01 1.42552529000000e-01 -1.93789761580582e+00
70 2.50565466000000e-01 3.28292439308327e-01 1.45016009000000e-01 1.45016009000000e-01 -5.35988914908886e-01
71 4.75350929000000e-01 3.41494332004609e-01 1.47509713000000e-01 1.47509713000000e-01 9.07442596647116e-01
72 1.86457744000000e-01 3.54918692248217e-01 1.50031652000000e-01 1.50031652000000e-01 -1.12283605494271e+00
73 3.99541008000000e-01 3.68560258646550e-01 1.52579769000000e-01 1.52579769000000e-01 2.03046246278233e-01
74 4.85443057000000e-01 3.82407833101914e-01 1.55152185000000e-01 1.55152185000000e-01 6.64091349394055e-01
75 2.55950128000000e-01 3.96449476140936e-01 1.57747015000000e-01 1.57747015000000e-01 -8.90662483476698e-01
76 5.15092820000000e-01 4.10671116846955e-01 1.60362410000000e-01 1.60362410000000e-01 6.51160724966935e-01
77 3.24994415000000e-01 4.25062030833425e-01 1.62996597000000e-01 1.62996597000000e-01 -6.13924570667108e-01
78 7.72583437000000e-01 4.39610104606639e-01 1.65647836000000e-01 1.65647836000000e-01 2.01012787389122e+00
79 3.78577791000000e-01 4.54303967965578e-01 1.68314429000000e-01 1.68314429000000e-01 -4.49909003140651e-01
80 2.77400156000000e-01 4.69132251902265e-01 1.70994724000000e-01 1.70994724000000e-01 -1.12127492250735e+00
81 3.80379902000000e-01 4.84083574188914e-01 1.73687112000000e-01 1.73687112000000e-01 -5.97071774611081e-01
82 8.06769955000000e-01 4.99147980342531e-01 1.76389948000000e-01 1.76389948000000e-01 1.74398812486451e+00
83 7.03600644000000e-01 5.14314018456940e-01 1.79101324000000e-01 1.79101324000000e-01 1.05686893494467e+00
84 4.44932308000000e-01 5.29570980305205e-01 1.81819307000000e-01 1.81819307000000e-01 -4.65509816871126e-01
85 3.92939172000000e-01 5.44907417057229e-01 1.84542010000000e-01 1.84542010000000e-01 -8.23488619513945e-01
86 5.20887590000000e-01 5.60313875072676e-01 1.87267588000000e-01 1.87267588000000e-01 -2.10534484337331e-01
87 5.41438620000000e-01 5.75777001733369e-01 1.89994231000000e-01 1.89994231000000e-01 -1.80733812561758e-01
88 5.33294843000000e-01 5.91283955396331e-01 1.92720257000000e-01 1.92720257000000e-01 -3.00897857334898e-01
89 4.56609107000000e-01 6.06821896279836e-01 1.95443959000000e-01 1.95443959000000e-01 -7.68572178175308e-01
90 7.58823428000000e-01 6.22373533457441e-01 1.98163564000000e-01 1.98163564000000e-01 6.88572065359904e-01
91 5.16174148000000e-01 6.37925486024080e-01 2.00877242000000e-01 2.00877242000000e-01 -6.06098216064117e-01
92 6.04507279000000e-01 6.53462937133241e-01 2.03583187000000e-01 2.03583187000000e-01 -2.40470044971055e-01
93 1.18497349000000e+00 6.68971269189633e-01 2.06279611000000e-01 2.06279611000000e-01 2.50146981715205e+00
94 8.94608735000000e-01 6.84438093308452e-01 2.08964786000000e-01 2.08964786000000e-01 1.00577061673706e+00
95 6.36525558000000e-01 6.99848054119643e-01 2.11637011000000e-01 2.11637011000000e-01 -2.99203319024586e-01
96 6.93000804000000e-01 7.15187282893274e-01 2.14294609000000e-01 2.14294609000000e-01 -1.03532604001596e-01
97 3.91041070000000e-01 7.30441171052281e-01 2.16935962000000e-01 2.16935962000000e-01 -1.56451746369411e+00
98 8.28537500000000e-01 7.45594370220027e-01 2.19559463000000e-01 2.19559463000000e-01 3.77770689756028e-01
99 3.30379964000000e-01 7.60633018799172e-01 2.22163624000000e-01 2.22163624000000e-01 -1.93664942555660e+00
100 5.88375526000000e-01 7.75545484190607e-01 2.24746966000000e-01 2.24746966000000e-01 -8.32803047452962e-01
101 8.45713384000000e-01 7.90317167579936e-01 2.27308042000000e-01 2.27308042000000e-01 2.43705484120372e-01
102 9.19603501000000e-01 8.04926050896734e-01 2.29845440000000e-01 2.29845440000000e-01 4.98932892048091e-01
103 6.70513044000000e-01 8.19372383996980e-01 2.32357805000000e-01 2.32357805000000e-01 -6.40647040012192e-01
104 8.26919471000000e-01 8.33626732173306e-01 2.34843806000000e-01 2.34843806000000e-01 -2.85605198090929e-02
105 1.14384651000000e+00 8.47681928692903e-01 2.37302075000000e-01 2.37302075000000e-01 1.24804884789607e+00
106 6.83668897000000e-01 8.61523387664549e-01 2.39731296000000e-01 2.39731296000000e-01 -7.41890998931359e-01
107 7.83921220000000e-01 8.75143947629173e-01 2.42130240000000e-01 2.42130240000000e-01 -3.76750659600277e-01
108 1.08672009000000e+00 8.88521606207277e-01 2.44497646000000e-01 2.44497646000000e-01 8.10635550220073e-01
109 1.30224908000000e+00 9.01649207256489e-01 2.46832254000000e-01 2.46832254000000e-01 1.62296404238771e+00
110 5.35680701000000e-01 9.14504753723102e-01 2.49132923000000e-01 2.49132923000000e-01 -1.52057001604361e+00
111 8.12642646000000e-01 9.27081025346636e-01 2.51398423000000e-01 2.51398423000000e-01 -4.55207228354952e-01
112 1.21195421000000e+00 9.39370526739778e-01 2.53627662000000e-01 2.53627662000000e-01 1.07473956551404e+00
113 9.21246105000000e-01 9.51350852141399e-01 2.55819454000000e-01 2.55819454000000e-01 -1.17679663022809e-01
114 5.25199477000000e-01 9.63007020211130e-01 2.57972712000000e-01 2.57972712000000e-01 -1.69710796082622e+00
115 5.13983841000000e-01 9.74338895798770e-01 2.60086467000000e-01 2.60086467000000e-01 -1.77000772131204e+00
116 1.14473893000000e+00 9.85331502770347e-01 2.62160157000000e-01 2.62160157000000e-01 6.08053599958947e-01
