# ell observed_D_uK2 conditional_model_D_coadded_uK2 error_minus_uK2 error_plus_uK2 residual_over_quoted_error
30 1.50225180000000e+00 1.87464031964121e+00 3.53684333000000e+00 3.53684333000000e+00 -1.05288384272652e-01
31 1.61142593000000e+00 1.90066085927170e+00 3.51877104000000e+00 3.51877104000000e+00 -8.21977122079802e-02
32 3.30663716000000e+00 1.92073002791083e+00 3.50306880000000e+00 3.50306880000000e+00 3.95626580925038e-01
33 -4.27259621000000e-02 1.93332401854170e+00 3.49305063000000e+00 3.49305063000000e+00 -5.65708943257343e-01
34 1.18601835000000e+00 1.93949109061016e+00 3.48659521000000e+00 3.48659521000000e+00 -2.16105597360172e-01
35 -2.04503036000000e+00 1.93007477074753e+00 3.48363663000000e+00 3.48363663000000e+00 -1.14107915174481e+00
36 3.85820152000000e+00 1.91531303530058e+00 3.48383842000000e+00 3.48383842000000e+00 5.57686164072851e-01
37 6.75743118000000e+00 1.88938808997605e+00 3.48736293000000e+00 3.48736293000000e+00 1.39590951321604e+00
38 6.72141515000000e+00 1.85430548513660e+00 3.49380182000000e+00 3.49380182000000e+00 1.39306976056913e+00
39 3.15724533000000e-01 1.80985714891343e+00 3.50296097000000e+00 3.50296097000000e+00 -4.26534188850362e-01
40 4.16582322000000e+00 1.75426113630104e+00 3.51465143000000e+00 3.51465143000000e+00 6.86145449052102e-01
41 6.57440498000000e-02 1.68630383315143e+00 3.52890592000000e+00 3.52890592000000e+00 -4.59224422551744e-01
42 -6.48906303000000e-01 1.60697803897888e+00 3.54533805000000e+00 3.54533805000000e+00 -6.36295978032020e-01
43 1.89826413000000e+00 1.51742926488979e+00 3.56378190000000e+00 3.56378190000000e+00 1.06862562243277e-01
44 -8.59736599000000e-01 1.41719995493898e+00 3.58431252000000e+00 3.58431252000000e+00 -6.35250565131799e-01
45 -1.57838748000000e+00 1.30552829911036e+00 3.60698676000000e+00 3.60698676000000e+00 -7.99536003594966e-01
46 -1.57568116000000e+00 1.18206692605604e+00 3.63159327000000e+00 3.63159327000000e+00 -7.59376912838051e-01
47 1.72808755000000e+00 1.04627065436792e+00 3.65792883000000e+00 3.65792883000000e+00 1.86394248581398e-01
48 -4.90458271000000e-01 8.97526324614608e-01 3.68607909000000e+00 3.68607909000000e+00 -3.76547697899398e-01
49 6.96788472000000e+00 7.35295033526883e-01 3.71612296000000e+00 3.71612296000000e+00 1.67717531243184e+00
50 1.10855685000000e+00 5.59176703009342e-01 3.74784547000000e+00 3.74784547000000e+00 1.46585592012324e-01
