# ell observed_D_uK2 conditional_model_D_coadded_uK2 error_minus_uK2 error_plus_uK2 residual_over_quoted_error
30 1.10280565000000e+03 1.05296347219642e+03 2.74694273000000e+02 2.74694273000000e+02 1.81446002711450e-01
31 7.64235896000000e+02 1.06920096467385e+03 2.73967740000000e+02 2.73967740000000e+02 -1.11314225782149e+00
32 1.54385108000000e+03 1.08604292738150e+03 2.73449299000000e+02 2.73449299000000e+02 1.67419757261289e+00
33 1.07726738000000e+03 1.10296498895911e+03 2.73099875000000e+02 2.73099875000000e+02 -9.40960114284492e-02
34 9.79159409000000e+02 1.11994864993980e+03 2.72915809000000e+02 2.72915809000000e+02 -5.15870595608497e-01
35 7.39911555000000e+02 1.13756800905016e+03 2.72870601000000e+02 2.72870601000000e+02 -1.45730779568358e+00
36 1.12251626000000e+03 1.15491675913876e+03 2.72952096000000e+02 2.72952096000000e+02 -1.18703976315182e-01
37 1.52372049000000e+03 1.17252310373350e+03 2.73164601000000e+02 2.73164601000000e+02 1.28566214282832e+00
38 1.28591266000000e+03 1.19049792018812e+03 2.73491129000000e+02 2.73491129000000e+02 3.48876909319725e-01
39 1.24383149000000e+03 1.20874276535460e+03 2.73908448000000e+02 2.73908448000000e+02 1.28103842366320e-01
40 1.71507099000000e+03 1.22717551832388e+03 2.74432309000000e+02 2.74432309000000e+02 1.77783539210070e+00
41 1.42708779000000e+03 1.24570886344904e+03 2.75039792000000e+02 2.75039792000000e+02 6.59464309625989e-01
42 1.39108758000000e+03 1.26434602972503e+03 2.75714328000000e+02 2.75714328000000e+02 4.59684308734854e-01
43 1.23515157000000e+03 1.28309989482245e+03 2.76448251000000e+02 2.76448251000000e+02 -1.73444124348788e-01
44 1.39971962000000e+03 1.30202044613669e+03 2.77240421000000e+02 2.77240421000000e+02 3.52398735764824e-01
45 1.05022476000000e+03 1.32117251532091e+03 2.78115210000000e+02 2.78115210000000e+02 -9.74228469276847e-01
46 1.14897828000000e+03 1.34052283086261e+03 2.79028999000000e+02 2.79028999000000e+02 -6.86468257955563e-01
47 1.93933290000000e+03 1.36005390512030e+03 2.79951311000000e+02 2.79951311000000e+02 2.06921336717619e+00
48 9.84327990000000e+02 1.37973920848833e+03 2.80912792000000e+02 2.80912792000000e+02 -1.40759420627710e+00
49 1.72006610000000e+03 1.39956705510527e+03 2.81925451000000e+02 2.81925451000000e+02 1.13682196395504e+00
50 1.70730702000000e+03 1.41959255522990e+03 2.82956791000000e+02 2.82956791000000e+02 1.01681413530769e+00
51 1.03942852000000e+03 1.43987447622738e+03 2.83993098000000e+02 2.83993098000000e+02 -1.41005524094595e+00
52 1.60361050000000e+03 1.46036004368260e+03 2.85044233000000e+02 2.85044233000000e+02 5.02555181733479e-01
53 1.11855429000000e+03 1.48097787463706e+03 2.86148260000000e+02 2.86148260000000e+02 -1.26655875746740e+00
54 1.17386271000000e+03 1.50170853809853e+03 2.87267431000000e+02 2.87267431000000e+02 -1.14125651821119e+00
55 1.60906096000000e+03 1.52254744596681e+03 2.88393097000000e+02 2.88393097000000e+02 2.99984690802755e-01
56 1.52329448000000e+03 1.54360612513431e+03 2.89556623000000e+02 2.89556623000000e+02 -7.01474030325114e-02
57 1.71571938000000e+03 1.56498557037894e+03 2.90769662000000e+02 2.90769662000000e+02 5.18395930938133e-01
58 1.74261858000000e+03 1.58664312863734e+03 2.92021980000000e+02 2.92021980000000e+02 5.34122299159344e-01
59 1.46714325000000e+03 1.60849161492105e+03 2.93295447000000e+02 2.93295447000000e+02 -4.81931671176108e-01
60 1.79045160000000e+03 1.63051063902902e+03 2.94592236000000e+02 2.94592236000000e+02 5.42923205114552e-01
61 1.35915415000000e+03 1.65270734751028e+03 2.95952922000000e+02 2.95952922000000e+02 -9.91891533040117e-01
62 2.16522710000000e+03 1.67508771124642e+03 2.97353776000000e+02 2.97353776000000e+02 1.64833753028775e+00
63 1.74210583000000e+03 1.69767039412791e+03 2.98829576000000e+02 2.98829576000000e+02 1.48698252920214e-01
64 1.24248520000000e+03 1.72045921482830e+03 3.00347925000000e+02 3.00347925000000e+02 -1.59140108868173e+00
