# ell mean_D_TT_uK2 mean_D_TE_uK2 mean_D_EE_uK2 mean_C_TT_uK2 mean_C_TE_uK2 mean_C_EE_uK2 draw_D_TT_uK2 draw_D_TE_uK2 draw_D_EE_uK2 draw_C_TT_uK2 draw_C_TE_uK2 draw_C_EE_uK2 TT_D_68_lower_uK2 TT_D_68_upper_uK2 TT_D_95_lower_uK2 TT_D_95_upper_uK2 EE_D_68_lower_uK2 EE_D_68_upper_uK2 EE_D_95_lower_uK2 EE_D_95_upper_uK2 sigma_D_TT_uK2 sigma_D_TE_uK2 sigma_D_EE_uK2 cov_D_TT_TT_uK4 cov_D_TT_TE_uK4 cov_D_TT_EE_uK4 cov_D_TE_TE_uK4 cov_D_TE_EE_uK4 cov_D_EE_EE_uK4
2 1.01616375048900e+03 2.62105301008800e+00 3.08800031427100e-02 1.06412419112683e+03 2.74476029372062e+00 3.23374636719891e-02 1.16778796053223e+03 3.68279048886109e+00 3.17782854147104e-02 1.22290469258622e+03 3.85660918150545e+00 3.32781426675113e-02 4.19791220424292e+02 1.61212620444497e+03 1.68929422122124e+02 2.60798467088222e+03 1.27569539847747e-02 4.89905905773054e-02 5.13356344734504e-03 7.92535403808959e-02 6.42678385448856e+02 2.76582930385444e+00 1.95302288168242e-02 4.13035507123148e+05 1.06536762278460e+03 2.74796755267655e+00 7.64981173805993e+00 3.23752500754908e-02 3.81429837637512e-04
3 9.62793497994000e+02 2.93978617755100e+00 3.96891806256000e-02 5.04117496703662e+02 1.53926844308651e+00 2.07812063800639e-02 1.87145641324742e+03 7.67681346654828e+00 8.91633180160355e-02 9.79892286561936e+02 4.01957013158121e+00 4.66858041414779e-02 4.75166181638138e+02 1.44963768948113e+03 2.32427865659515e+02 2.20242647550339e+03 1.95877479952926e-02 5.97583305447836e-02 9.58136044936260e-03 9.07904990872740e-02 5.14634771958167e+02 2.58718898246056e+00 2.12147594089688e-02 2.64848948508435e+05 8.08687719211068e+02 2.46924079134855e+00 6.69354683096529e+00 3.33364870289897e-02 4.50066016780429e-04
4 9.11436405808300e+02 2.75833669154200e+00 3.44973973050400e-02 2.86336191670164e+02 8.66557028627552e-01 1.08376769941482e-02 7.77361887439112e+02 3.15028799093996e-01 2.27723393918229e-02 2.44215439475941e+02 9.89692160902913e-02 7.15414141384044e-03 4.99697077428437e+02 1.32239145584653e+03 2.73470366682730e+02 1.92644923454664e+03 1.89132763431021e-02 5.00518337367390e-02 1.03507121621312e-02 7.29151087323624e-02 4.29655242111562e+02 2.08301611220507e+00 1.62622290451202e-02 1.84603627073945e+05 5.58677440032933e+02 1.69076028975708e+00 4.33895612370594e+00 2.11456526109320e-02 2.64460093515951e-04
5 8.73161939623900e+02 2.35029895476500e+00 2.30964170474800e-02 1.82874608994444e+02 4.92245462001966e-01 4.83730227470728e-03 6.47610103106135e+02 4.99907446118933e-01 2.47544902866172e-02 1.35635142820584e+02 1.04700370680138e-01 5.18456832185311e-03 5.13833890206591e+02 1.23177211672680e+03 3.02887831367180e+02 1.73997752085497e+03 1.35916618473456e-02 3.25821834694644e-02 8.01182845289435e-03 4.60249635848956e-02 3.72317502044539e+02 1.52824371819745e+00 9.84834531954134e-03 1.38620322328686e+05 3.73125744370660e+02 1.00434639577626e+00 2.33552886220996e+00 9.86972451736523e-03 9.69899055329318e-05
6 8.47109553917500e+02 1.89417330412500e+00 1.29532210022400e-02 1.26727292922521e+02 2.83367663660238e-01 1.93779733052201e-03 5.49614189332145e+02 1.34605226263432e+00 1.08018391740241e-02 8.22220904530750e+01 2.01368947601900e-01 1.61595136163679e-03 5.24880864158317e+02 1.16869063941042e+03 3.26381570134131e+02 1.61182824768876e+03 8.02599593151506e-03 1.78705435035226e-02 4.99072710188938e-03 2.46465966691235e-02 3.32263703505862e+02 1.05832559229779e+00 5.08067128110013e-03 1.10399168667432e+05 2.46857277338425e+02 5.51983462470741e-01 1.12005305931247e+00 3.77471468074989e-03 2.58132206665956e-05
7 8.30637640137200e+02 1.48891879150300e+00 7.00135568925000e-03 9.31973252875068e+01 1.67056297756343e-01 7.85550271375604e-04 5.57949972290395e+02 7.23795150327791e-01 6.15765690241583e-03 6.26018405006477e+01 8.12096259633467e-02 6.90887488855573e-04 5.35455137157218e+02 1.12523365070824e+03 3.46771157352580e+02 1.52219291861697e+03 4.51329399213669e-03 9.48447390467447e-03 2.92289693854624e-03 1.28304010508537e-02 3.03305981744002e+02 7.31777230909814e-01 2.55653362941290e-03 9.19945185616929e+04 1.64900265510664e+02 2.95583889025434e-01 5.35497915678036e-01 1.38992667356277e-03 6.53586419831911e-06
8 8.20831414100200e+02 1.17796360182600e+00 4.50192786408300e-03 7.16310538992475e+01 1.02796716602576e-01 3.92867319577621e-04 6.99859528237499e+02 2.70331033431828e-01 4.18300207768640e-03 6.10742653459930e+01 2.35908330185213e-02 3.65035794366957e-04 5.46096361873050e+02 1.09503108414349e+03 3.65230697642608e+02 1.45774874767221e+03 2.99511737216545e-03 6.00580200155549e-03 2.00314245567484e-03 7.99516148291143e-03 2.81542852317418e+02 5.46804732437847e-01 1.54414851820774e-03 7.92663776910275e+04 1.13754062240635e+02 1.63246852614927e-01 2.98995415416425e-01 6.23894960227770e-04 2.38439464628317e-06
9 8.16338117564700e+02 9.66769478187600e-01 3.60360044373900e-03 5.69911518441463e+01 6.74932420086445e-02 2.51578770678297e-04 5.87567733393569e+02 6.40841068057784e-01 1.47881268519872e-03 4.10199661047921e+01 4.47391464784216e-02 1.03240601507905e-04 5.57345244893883e+02 1.07483779029991e+03 3.82669942050791e+02 1.41150561410130e+03 2.46031580371014e-03 4.74470792767459e-03 1.68923824982424e-03 6.23087682404146e-03 2.64855059109114e+02 4.51686874927424e-01 1.16916237034157e-03 7.01482023356924e+04 8.30748185202813e+01 9.83834972584341e-02 2.04021032981702e-01 3.66721149535806e-04 1.36694064822273e-06
10 8.15720448883700e+02 8.47371033615300e-01 3.07507320445900e-03 4.65938430835636e+01 4.84017202558294e-02 1.75647770697804e-04 5.16381732956701e+02 3.11378365461174e-01 1.41478262687322e-03 2.94956556128134e+01 1.77858906439931e-02 8.08121946729342e-05 5.69139845775573e+02 1.06184290783633e+03 3.99427142618321e+02 1.37813545617662e+03 2.14552263796922e-03 4.00289667581677e-03 1.50574587786795e-03 5.19524479152514e-03 2.51736795790673e+02 3.91969250695207e-01 9.48988193653377e-04 6.33714143549548e+04 6.58302742773064e+01 6.83845398676440e-02 1.53639893490562e-01 2.48164567590965e-04 9.00578591693499e-07
11 8.17599258514800e+02 8.02405349406600e-01 2.59636503959200e-03 3.89176336989478e+01 3.81944053166201e-02 1.23586686885145e-04 4.90255177840053e+02 1.05733929813237e-01 1.64730235485135e-03 2.33360918952526e+01 5.03292328994613e-03 7.84114087309418e-05 5.81112856901634e+02 1.05365715323012e+03 4.15502234126472e+02 1.35350454814682e+03 1.84537973830552e-03 3.34598957603287e-03 1.31946728586571e-03 4.29818380232001e-03 2.41096868052431e+02 3.46826637307616e-01 7.65626280659263e-04 5.81276997846914e+04 5.70474798872300e+01 5.59873343266372e-02 1.20288716346109e-01 1.81159756241817e-04 5.86183601636136e-07
